programa;codigo;nome;tipo;produto;unidadeMedida;metaFisica
0001;9999;Reserva de Contingencia;RESERVA_CONTINGENCIA;;;
0100;2001;Administracao de Pessoal e Encargos Sociais;ATIVIDADE;Folha de pagamento processada;Percentual;100
0100;2002;Manutencao dos Servicos Administrativos e Operacionais;ATIVIDADE;Unidade administrativa mantida;Unidade;1
0100;2003;Encargos com Estagiarios e Aprendizes;ATIVIDADE;Estagiario contratado;Pessoa;1200
0100;2004;Tecnologia da Informacao e Comunicacao Corporativa;ATIVIDADE;Servico de TIC mantido;Percentual;100
0100;1005;Modernizacao e Reforma de Instalacoes Fisicas;PROJETO;Edificacao reformada;Metro quadrado;25000
0200;0201;Pagamento de Aposentadorias e Reformas do RPPS;OPERACAO_ESPECIAL;Beneficio previdenciario pago;Beneficio;180000
0200;0202;Pagamento de Pensoes do RPPS;OPERACAO_ESPECIAL;Beneficio previdenciario pago;Beneficio;62000
0200;2203;Gestao Administrativa do Regime Proprio de Previdencia;ATIVIDADE;Gestao realizada;Percentual;100
0300;0301;Amortizacao e Encargos da Divida Publica Interna;OPERACAO_ESPECIAL;Compromisso honrado;Percentual;100
0300;0302;Amortizacao e Encargos da Divida Publica Externa;OPERACAO_ESPECIAL;Compromisso honrado;Percentual;100
0300;0303;Cumprimento de Sentencas Judiciais e Precatorios;OPERACAO_ESPECIAL;Precatorio pago;Unidade;3500
0300;0304;Transferencias Constitucionais e Legais a Municipios;OPERACAO_ESPECIAL;Transferencia efetuada;Percentual;100
0300;0305;Contribuicao Patronal e Aporte ao Regime Previdenciario;OPERACAO_ESPECIAL;Aporte realizado;Percentual;100
1001;2101;Manutencao da Rede Estadual de Educacao Basica;ATIVIDADE;Estudante atendido;Aluno;1000000
1001;2102;Alimentacao Escolar da Rede Estadual;ATIVIDADE;Refeicao servida;Milhao de refeicoes;180
1001;2103;Transporte Escolar da Rede Estadual;ATIVIDADE;Estudante transportado;Aluno;150000
1001;2104;Educacao Especial e Inclusiva;ATIVIDADE;Estudante atendido;Aluno;42000
1001;2105;Formacao Continuada de Profissionais da Educacao;ATIVIDADE;Profissional formado;Pessoa;60000
1001;1106;Construcao e Ampliacao de Escolas Estaduais;PROJETO;Escola construida ou ampliada;Unidade;120
1001;1107;Equipamentos e Tecnologia Educacional;PROJETO;Escola equipada;Unidade;800
1002;2201;Manutencao das Universidades Estaduais;ATIVIDADE;Vaga de graduacao mantida;Vaga;95000
1002;2202;Educacao Profissional e Tecnologica;ATIVIDADE;Matricula em curso tecnico;Matricula;70000
1002;2203;Fomento a Pesquisa e a Pos-Graduacao;ATIVIDADE;Bolsa concedida;Bolsa;4500
1002;1204;Expansao da Infraestrutura Universitaria;PROJETO;Obra entregue;Unidade;18
1101;2301;Atencao Especializada e Hospitalar de Media e Alta Complexidade;ATIVIDADE;Procedimento realizado;Milhao de procedimentos;95
1101;2302;Apoio a Atencao Primaria em Saude nos Municipios;ATIVIDADE;Municipio apoiado;Municipio;399
1101;2303;Assistencia Farmaceutica e Insumos Estrategicos;ATIVIDADE;Medicamento dispensado;Milhao de unidades;220
1101;2304;Servico de Atendimento Movel de Urgencia e Transporte Sanitario;ATIVIDADE;Atendimento realizado;Atendimento;900000
1101;1305;Construcao, Ampliacao e Reforma de Unidades de Saude;PROJETO;Unidade de saude entregue;Unidade;35
1101;1306;Equipamentos e Materiais Permanentes para a Rede de Saude;PROJETO;Unidade equipada;Unidade;150
1102;2401;Vigilancia Epidemiologica e Imunizacao;ATIVIDADE;Dose de vacina distribuida;Milhao de doses;18
1102;2402;Vigilancia Sanitaria e Ambiental em Saude;ATIVIDADE;Inspecao realizada;Inspecao;65000
1201;2501;Policiamento Ostensivo e Preventivo;ATIVIDADE;Municipio coberto;Municipio;399
1201;2502;Investigacao Criminal e Pericia Oficial;ATIVIDADE;Inquerito e laudo concluido;Unidade;480000
1201;2503;Atendimento de Emergencia, Combate a Incendios e Defesa Civil;ATIVIDADE;Atendimento realizado;Atendimento;320000
1201;2504;Fiscalizacao de Transito e Educacao para o Transito;ATIVIDADE;Acao de fiscalizacao;Acao;120000
1201;1505;Aquisicao de Viaturas, Armamentos e Equipamentos de Seguranca;PROJETO;Equipamento adquirido;Unidade;4200
1201;1506;Videomonitoramento e Inteligencia em Seguranca Publica;PROJETO;Camera instalada;Unidade;9000
1202;2601;Custodia e Ressocializacao de Pessoas Privadas de Liberdade;ATIVIDADE;Vaga prisional mantida;Vaga;35000
